Player,Score
RandomBot199,5
RandomBot200,8
RandomBot201,4
RandomBot202,6
RandomBot203,0
RandomBot204,3
RandomBot205,8
RandomBot206,9
RandomBot207,8
RandomBot208,8
RandomBot209,7
RandomBot210,1
RandomBot211,5
RandomBot212,7
RandomBot213,3
RandomBot214,7
RandomBot215,6
RandomBot216,5
RandomBot217,6
RandomBot218,8
RandomBot219,8
RandomBot220,8
RandomBot221,8
RandomBot222,7
RandomBot223,10
RandomBot224,5
RandomBot225,6
RandomBot226,9
RandomBot227,8
RandomBot228,6
RandomBot229,6
RandomBot230,9
RandomBot231,2
RandomBot232,2
RandomBot233,8
RandomBot234,1
RandomBot235,4
RandomBot236,2
RandomBot237,2
RandomBot238,9
RandomBot239,6
RandomBot240,6
RandomBot241,8
RandomBot242,7
RandomBot243,6
RandomBot244,5
RandomBot245,7
RandomBot246,6
RandomBot247,6
RandomBot248,8
RandomBot249,8
RandomBot250,4
RandomBot251,9
RandomBot252,1
RandomBot253,5
RandomBot254,6
RandomBot255,7
RandomBot256,5
RandomBot257,8
RandomBot258,8
RandomBot259,8
RandomBot260,8
RandomBot261,0
RandomBot262,5
RandomBot263,5
RandomBot264,4
RandomBot265,9
RandomBot266,8
RandomBot267,9
RandomBot268,7
RandomBot269,5
RandomBot270,6
RandomBot271,6
RandomBot272,8
RandomBot273,7
RandomBot274,5
RandomBot275,4
RandomBot276,8
RandomBot277,3
RandomBot278,5
RandomBot279,9
RandomBot280,7
RandomBot281,7
RandomBot282,9
RandomBot283,7
RandomBot284,7
RandomBot285,7
RandomBot286,6
RandomBot287,8
RandomBot288,8
RandomBot289,7
RandomBot290,7
RandomBot291,8
RandomBot292,7
RandomBot293,8
RandomBot294,6
RandomBot295,8
RandomBot296,4
RandomBot297,8
RandomBot298,7
RandomBot299,6
RandomBot300,0
RandomBot301,8
RandomBot302,6
RandomBot303,8
RandomBot304,5
RandomBot305,1
RandomBot306,7
RandomBot307,4
RandomBot308,5
RandomBot309,7
RandomBot310,8
RandomBot311,8
RandomBot312,4
RandomBot313,8
RandomBot314,8
RandomBot315,8
RandomBot316,1
RandomBot317,8
RandomBot318,9
RandomBot319,9
RandomBot320,6
RandomBot321,5
RandomBot322,6
RandomBot323,6
RandomBot324,5
RandomBot325,8
RandomBot326,7
RandomBot327,7
RandomBot328,8
RandomBot329,5
RandomBot330,4
RandomBot331,4
RandomBot332,7
RandomBot333,8
RandomBot334,8
RandomBot335,9
RandomBot336,7
RandomBot337,8
RandomBot338,8
RandomBot339,8
RandomBot340,7
RandomBot341,6
RandomBot342,9
RandomBot343,8
RandomBot344,9
RandomBot345,4
RandomBot346,6
RandomBot347,7
RandomBot348,8
RandomBot349,2
RandomBot350,8
RandomBot351,8
RandomBot352,7
RandomBot353,7
RandomBot354,5
RandomBot355,5
RandomBot356,6
RandomBot357,9
RandomBot358,7
RandomBot359,7
RandomBot360,6
RandomBot361,3
RandomBot362,7
RandomBot363,7
RandomBot364,10
RandomBot365,7
RandomBot366,7
RandomBot367,7
RandomBot368,8
RandomBot369,3
RandomBot370,8
RandomBot371,8
RandomBot372,8
RandomBot373,6
RandomBot374,5
RandomBot375,4
RandomBot376,2
RandomBot377,4
RandomBot378,7
RandomBot379,8
RandomBot380,6
RandomBot381,7
RandomBot382,6
RandomBot383,6
RandomBot384,7
RandomBot385,9
RandomBot386,1
RandomBot387,3
RandomBot388,1
RandomBot389,4
RandomBot390,8
RandomBot391,8
RandomBot392,7
RandomBot393,6
RandomBot394,7
RandomBot395,8
RandomBot396,8
RandomBot397,7
RandomBot398,7
RandomBot399,9
RandomBot400,8
RandomBot401,7
RandomBot402,4
RandomBot403,6
RandomBot404,8
RandomBot405,7
RandomBot406,4
RandomBot407,3
RandomBot408,2
RandomBot409,5
RandomBot410,8
RandomBot411,8
RandomBot412,2
RandomBot413,3
RandomBot414,6
RandomBot415,9
RandomBot416,0
RandomBot417,9
RandomBot418,6
RandomBot419,7
RandomBot420,7
RandomBot421,8
RandomBot422,7
RandomBot423,8
RandomBot424,8
RandomBot425,6
RandomBot426,7
RandomBot427,6
RandomBot428,9
RandomBot429,6
RandomBot430,8
RandomBot431,9
RandomBot432,7
RandomBot433,2
RandomBot434,6
RandomBot435,4
RandomBot436,9
RandomBot437,4
RandomBot438,7
RandomBot439,9
RandomBot440,8
RandomBot441,8
RandomBot442,7
RandomBot443,6
RandomBot444,6
RandomBot445,6
RandomBot446,10
RandomBot447,3
RandomBot448,7
RandomBot449,8
RandomBot450,7
RandomBot451,7
RandomBot452,4
RandomBot453,3
RandomBot454,8
RandomBot455,7
RandomBot456,7
RandomBot457,6
RandomBot458,5
RandomBot459,7
RandomBot460,5
RandomBot461,7
RandomBot462,7
RandomBot463,0
RandomBot464,8
RandomBot465,7
RandomBot466,7
RandomBot467,5
RandomBot468,7
RandomBot469,7
RandomBot470,8
RandomBot471,9
RandomBot472,6
RandomBot473,8
RandomBot474,8
RandomBot475,0
RandomBot476,8
RandomBot477,9
RandomBot478,5
RandomBot479,8
RandomBot480,10
RandomBot481,8
RandomBot482,8
RandomBot483,8
RandomBot484,9
RandomBot485,8
RandomBot486,9
RandomBot487,6
RandomBot488,4
RandomBot489,9
RandomBot490,9
RandomBot491,8
RandomBot492,6
RandomBot493,8
RandomBot494,8
RandomBot495,4
RandomBot496,3
RandomBot497,7
RandomBot498,7
RandomBot499,6
RandomBot500,4
RandomBot501,8
RandomBot502,9
RandomBot503,4
RandomBot504,3
RandomBot505,7
RandomBot506,5
RandomBot507,8
RandomBot508,5
RandomBot509,7
RandomBot510,8
RandomBot511,2
RandomBot512,3
RandomBot513,8
RandomBot514,8
RandomBot515,8
RandomBot516,6
RandomBot517,9
RandomBot518,8
RandomBot519,8
RandomBot520,8
RandomBot521,5
RandomBot522,7
RandomBot523,9
RandomBot524,7
RandomBot525,8
RandomBot526,7
RandomBot527,7
RandomBot528,5
RandomBot529,9
RandomBot530,8
RandomBot531,7
RandomBot532,10
RandomBot533,8
RandomBot534,9
RandomBot535,3
RandomBot536,6
RandomBot537,8
RandomBot538,6
RandomBot539,8
RandomBot540,8
RandomBot541,1
RandomBot542,8
RandomBot543,8
RandomBot544,8
RandomBot545,7
RandomBot546,5
RandomBot547,8
RandomBot548,4
RandomBot549,4
RandomBot550,7
RandomBot551,8
RandomBot552,7
RandomBot553,6
RandomBot554,6
RandomBot555,6
RandomBot556,7
RandomBot557,9
RandomBot558,8
RandomBot559,6
RandomBot560,4
RandomBot561,1
RandomBot562,5
RandomBot563,8
RandomBot564,8
RandomBot565,8
RandomBot566,7
RandomBot567,7
RandomBot568,9
RandomBot569,6
RandomBot570,6
RandomBot571,2
RandomBot572,7
RandomBot573,8
RandomBot574,5
RandomBot575,5
RandomBot576,5
RandomBot577,1
RandomBot578,5
RandomBot579,7
RandomBot580,6
RandomBot581,5
RandomBot582,5
RandomBot583,8
RandomBot584,9
RandomBot585,9
RandomBot586,8
RandomBot587,4
RandomBot588,5
RandomBot589,6
RandomBot590,10
RandomBot591,4
RandomBot592,6
RandomBot593,2
RandomBot594,7
RandomBot595,9
RandomBot596,9
RandomBot597,9
RandomBot598,3
RandomBot599,5
RandomBot600,10
RandomBot601,8
RandomBot602,7
RandomBot603,3
RandomBot604,9
RandomBot605,7
RandomBot606,9
RandomBot607,6
RandomBot608,7
RandomBot609,9
RandomBot610,5
RandomBot611,5
RandomBot612,3
RandomBot613,9
RandomBot614,6
RandomBot615,5
RandomBot616,8
RandomBot617,8
RandomBot618,5
RandomBot619,6
RandomBot620,6
RandomBot621,8
RandomBot622,4
RandomBot623,7
RandomBot624,7
RandomBot625,5
RandomBot626,8
RandomBot627,8
RandomBot628,5
RandomBot629,3
RandomBot630,3
RandomBot631,7
RandomBot632,8
RandomBot633,5
RandomBot634,6
RandomBot635,8
RandomBot636,8
RandomBot637,7
RandomBot638,6
RandomBot639,9
RandomBot640,9
RandomBot641,7
RandomBot642,3
RandomBot643,6
RandomBot644,2
RandomBot645,7
RandomBot646,8
RandomBot647,8
RandomBot648,4
RandomBot649,3
RandomBot650,7
RandomBot651,8
RandomBot652,5
RandomBot653,7
RandomBot654,6
RandomBot655,8
RandomBot656,7
RandomBot657,8
RandomBot658,6
RandomBot659,5
RandomBot660,6
RandomBot661,6
RandomBot662,8
RandomBot663,1
RandomBot664,4
RandomBot665,6
RandomBot666,6
RandomBot667,7
RandomBot668,8
RandomBot669,7
RandomBot670,6
RandomBot671,0
RandomBot672,3
RandomBot673,3
RandomBot674,6
RandomBot675,7
RandomBot676,7
RandomBot677,8
RandomBot678,9
RandomBot679,7
RandomBot680,8
RandomBot681,5
RandomBot682,4
RandomBot683,4
RandomBot684,6
RandomBot685,4
RandomBot686,6
RandomBot687,7
RandomBot688,10
RandomBot689,6
RandomBot690,6
RandomBot691,9
RandomBot692,2
RandomBot693,3
RandomBot694,6
RandomBot695,8
RandomBot696,9
RandomBot697,4
RandomBot698,8
RandomBot699,8
RandomBot700,8
RandomBot701,6
RandomBot702,6
RandomBot703,6
RandomBot704,6
RandomBot705,4
RandomBot706,4
RandomBot707,8
RandomBot708,9
RandomBot709,8
RandomBot710,8
RandomBot711,6
RandomBot712,8
RandomBot713,7
RandomBot714,7
RandomBot715,10
RandomBot716,7
RandomBot717,7
RandomBot718,8
RandomBot719,3
RandomBot720,7
RandomBot721,8
RandomBot722,8
RandomBot723,1
RandomBot724,9
RandomBot725,8
RandomBot726,8
RandomBot727,5
RandomBot728,4
RandomBot729,7
RandomBot730,0
RandomBot731,6
RandomBot732,6
RandomBot733,2
RandomBot734,3
RandomBot735,8
RandomBot736,6
RandomBot737,7
RandomBot738,4
RandomBot739,6
RandomBot740,9
RandomBot741,8
RandomBot742,7
RandomBot743,7
RandomBot744,6
RandomBot745,8
RandomBot746,9
RandomBot747,6
RandomBot748,3
RandomBot749,9
RandomBot750,5
RandomBot751,4
RandomBot752,9
RandomBot753,5
RandomBot754,7
RandomBot755,8
RandomBot756,8
RandomBot757,6
RandomBot758,9
RandomBot759,8
RandomBot760,3
RandomBot761,3
RandomBot762,5
RandomBot763,7
RandomBot764,5
RandomBot765,8
RandomBot766,8
RandomBot767,9
RandomBot768,7
RandomBot769,7
RandomBot770,7
RandomBot771,7
RandomBot772,4
RandomBot773,4
RandomBot774,6
RandomBot775,8
RandomBot776,8
RandomBot777,6
RandomBot778,7
RandomBot779,7
RandomBot780,7
RandomBot781,5
RandomBot782,6
RandomBot783,7
RandomBot784,9
RandomBot785,4
RandomBot786,5
RandomBot787,3
RandomBot788,3
RandomBot789,8
RandomBot790,7
RandomBot791,5
RandomBot792,5
RandomBot793,8
RandomBot794,6
RandomBot795,3
RandomBot796,3
RandomBot797,9
RandomBot798,6
RandomBot799,8
RandomBot800,4
RandomBot801,7
RandomBot802,7
RandomBot803,3
RandomBot804,9
RandomBot805,5
RandomBot806,5
RandomBot807,4
RandomBot808,7
RandomBot809,6
RandomBot810,5
RandomBot811,8
RandomBot812,8
RandomBot813,9
RandomBot814,6
RandomBot815,9
RandomBot816,9
RandomBot817,5
RandomBot818,6
RandomBot819,7
RandomBot820,6
RandomBot821,6
RandomBot822,7
RandomBot823,8
RandomBot824,10
RandomBot825,4
RandomBot826,9
RandomBot827,7
RandomBot828,7
RandomBot829,8
RandomBot830,3
RandomBot831,9
RandomBot832,6
RandomBot833,1
RandomBot834,8
RandomBot835,6
RandomBot836,8
RandomBot837,6
RandomBot838,8
RandomBot839,9
RandomBot840,6
RandomBot841,5
RandomBot842,10
RandomBot843,6
RandomBot844,9
RandomBot845,3
RandomBot846,2
RandomBot847,7
RandomBot848,2
RandomBot849,2
RandomBot850,6
RandomBot851,8
RandomBot852,6
RandomBot853,1
RandomBot854,4
RandomBot855,8
RandomBot856,6
RandomBot857,10
RandomBot858,6
RandomBot859,5
RandomBot860,6
RandomBot861,8
RandomBot862,7
RandomBot863,8
RandomBot864,6
RandomBot865,1
RandomBot866,7
RandomBot867,3
RandomBot868,3
RandomBot869,9
RandomBot870,9
RandomBot871,7
RandomBot872,7
RandomBot873,9
RandomBot874,8
RandomBot875,8
RandomBot876,7
RandomBot877,3
RandomBot878,2
RandomBot879,9
RandomBot880,5
RandomBot881,7
RandomBot882,10
RandomBot883,6
RandomBot884,3
RandomBot885,4
RandomBot886,9
RandomBot887,8
RandomBot888,8
RandomBot889,2
RandomBot890,7
RandomBot891,8
RandomBot892,0
RandomBot893,6
RandomBot894,1
RandomBot895,8
RandomBot896,6
RandomBot897,7
RandomBot898,9
RandomBot899,9
RandomBot900,7
RandomBot901,6
RandomBot902,6
RandomBot903,5
RandomBot904,8
RandomBot905,1
RandomBot906,8
RandomBot907,6
RandomBot908,8
RandomBot909,8
RandomBot910,2
RandomBot911,9
RandomBot912,7
RandomBot913,1
RandomBot914,7
RandomBot915,9
RandomBot916,8
RandomBot917,2
RandomBot918,4
RandomBot919,5
RandomBot920,7
RandomBot921,4
RandomBot922,8
RandomBot923,8
RandomBot924,6
RandomBot925,8
RandomBot926,8
RandomBot927,8
RandomBot928,8
RandomBot929,7
RandomBot930,6
RandomBot931,7
RandomBot932,5
RandomBot933,8
RandomBot934,7
RandomBot935,6
RandomBot936,4
RandomBot937,6
RandomBot938,7
RandomBot939,9
RandomBot940,1
RandomBot941,6
RandomBot942,7
RandomBot943,2
RandomBot944,6
RandomBot945,8
RandomBot946,8
RandomBot947,6
RandomBot948,6
RandomBot949,7
RandomBot950,8
RandomBot951,0
RandomBot952,5
RandomBot953,6
RandomBot954,8
RandomBot955,7
RandomBot956,6
RandomBot957,5
RandomBot958,4
RandomBot959,5
RandomBot960,6
RandomBot961,1
RandomBot962,6
RandomBot963,6
RandomBot964,7
RandomBot965,7
RandomBot966,8
RandomBot967,7
RandomBot968,6
RandomBot969,8
RandomBot970,8
RandomBot971,6
RandomBot972,9
RandomBot973,8
RandomBot974,4
RandomBot975,7
RandomBot976,7
RandomBot977,9
RandomBot978,8
RandomBot979,8
RandomBot980,4
RandomBot981,7
RandomBot982,5
RandomBot983,7
RandomBot984,7
RandomBot985,7
RandomBot986,6
RandomBot987,6
RandomBot988,9
RandomBot989,4
RandomBot990,7
RandomBot991,8
RandomBot992,6
RandomBot993,7
RandomBot994,8
RandomBot995,9
RandomBot996,5
RandomBot997,6
RandomBot998,8
RandomBot999,7
RandomBot1000,8
RandomBot1,8
RandomBot2,7
RandomBot3,9
RandomBot4,9
RandomBot5,7
RandomBot6,7
RandomBot7,7
RandomBot8,8
RandomBot9,5
RandomBot10,7
RandomBot11,6
RandomBot12,8
RandomBot13,5
RandomBot14,4
RandomBot15,9
RandomBot16,7
RandomBot17,7
RandomBot18,7
RandomBot19,4
RandomBot20,6
RandomBot21,3
RandomBot22,10
RandomBot23,6
RandomBot24,7
RandomBot25,5
RandomBot26,9
RandomBot27,7
RandomBot28,7
RandomBot29,2
RandomBot30,5
RandomBot31,5
RandomBot32,7
RandomBot33,9
RandomBot34,7
RandomBot35,8
RandomBot36,6
RandomBot37,7
RandomBot38,8
RandomBot39,6
RandomBot40,9
RandomBot41,5
RandomBot42,8
RandomBot43,8
RandomBot44,7
RandomBot45,8
RandomBot46,8
RandomBot47,5
RandomBot48,8
RandomBot49,5
RandomBot50,8
RandomBot51,5
RandomBot52,4
RandomBot53,4
RandomBot54,6
RandomBot55,8
RandomBot56,6
RandomBot57,8
RandomBot58,8
RandomBot59,9
RandomBot60,6
RandomBot61,7
RandomBot62,10
RandomBot63,10
RandomBot64,6
RandomBot65,8
RandomBot66,4
RandomBot67,9
RandomBot68,5
RandomBot69,2
RandomBot70,7
RandomBot71,1
RandomBot72,6
RandomBot73,7
RandomBot74,5
RandomBot75,5
RandomBot76,3
RandomBot77,4
RandomBot78,6
RandomBot79,8
RandomBot80,4
RandomBot81,4
RandomBot82,6
RandomBot83,6
RandomBot84,6
RandomBot85,7
RandomBot86,3
RandomBot87,4
RandomBot88,3
RandomBot89,4
RandomBot90,10
RandomBot91,10
RandomBot92,6
RandomBot93,8
RandomBot94,8
RandomBot95,5
RandomBot96,6
RandomBot97,5
RandomBot98,7
RandomBot99,5
RandomBot100,6
RandomBot101,7
RandomBot102,8
RandomBot103,7
RandomBot104,9
RandomBot105,6
RandomBot106,3
RandomBot107,9
RandomBot108,4
RandomBot109,8
RandomBot110,6
RandomBot111,8
RandomBot112,7
RandomBot113,6
RandomBot114,8
RandomBot115,8
RandomBot116,5
RandomBot117,8
RandomBot118,3
RandomBot119,9
RandomBot120,6
RandomBot121,8
RandomBot122,6
RandomBot123,9
RandomBot124,0
RandomBot125,7
RandomBot126,5
RandomBot127,8
RandomBot128,4
RandomBot129,3
RandomBot130,5
RandomBot131,6
RandomBot132,6
RandomBot133,9
RandomBot134,4
RandomBot135,8
RandomBot136,6
RandomBot137,6
RandomBot138,8
RandomBot139,8
RandomBot140,7
RandomBot141,4
RandomBot142,4
RandomBot143,6
RandomBot144,10
RandomBot145,5
RandomBot146,6
RandomBot147,1
RandomBot148,8
RandomBot149,7
RandomBot150,5
RandomBot151,6
RandomBot152,8
RandomBot153,6
RandomBot154,7
RandomBot155,7
RandomBot156,6
RandomBot157,8
RandomBot158,9
RandomBot159,3
RandomBot160,6
RandomBot161,8
RandomBot162,7
RandomBot163,7
RandomBot164,7
RandomBot165,0
RandomBot166,6
RandomBot167,7
RandomBot168,4
RandomBot169,7
RandomBot170,9
RandomBot171,10
RandomBot172,8
RandomBot173,6
RandomBot174,8
RandomBot175,7
RandomBot176,7
RandomBot177,7
RandomBot178,6
RandomBot179,5
RandomBot180,7
RandomBot181,5
RandomBot182,8
RandomBot183,6
RandomBot184,9
RandomBot185,6
RandomBot186,8
RandomBot187,5
RandomBot188,5
RandomBot189,7
RandomBot190,5
RandomBot191,8
RandomBot192,9
RandomBot193,8
RandomBot194,6
RandomBot195,6
RandomBot196,6
RandomBot197,10
RandomBot198,8
RandomBot199,6
RandomBot200,7
RandomBot201,4
RandomBot202,4
RandomBot203,7
RandomBot204,5
RandomBot205,6
RandomBot206,5
RandomBot207,2
RandomBot208,8
RandomBot209,4
RandomBot210,6
RandomBot211,6
RandomBot212,1
RandomBot213,6
RandomBot214,3
RandomBot215,3
RandomBot216,8
RandomBot217,5
RandomBot218,8
RandomBot219,9
RandomBot220,8
RandomBot221,7
RandomBot222,8
RandomBot223,4
RandomBot224,6
RandomBot225,6
RandomBot226,6
RandomBot227,6
RandomBot228,5
RandomBot229,3
RandomBot230,8
RandomBot231,4
RandomBot232,9
RandomBot233,8
RandomBot234,6
RandomBot235,7
RandomBot236,9
RandomBot237,2
RandomBot238,5
RandomBot239,5
RandomBot240,5
RandomBot241,9
RandomBot242,7
RandomBot243,1
RandomBot244,9
RandomBot245,6
RandomBot246,10
RandomBot247,9
RandomBot248,6
RandomBot249,10
RandomBot250,4
RandomBot251,8
RandomBot252,8
RandomBot253,7
RandomBot254,8
RandomBot255,9
RandomBot256,6
RandomBot257,7
RandomBot258,9
RandomBot259,7
RandomBot260,6
RandomBot261,6
RandomBot262,8
RandomBot263,8
RandomBot264,10
RandomBot265,9
RandomBot266,7
RandomBot267,7
RandomBot268,6
RandomBot269,9
RandomBot270,6
RandomBot271,9
RandomBot272,8
RandomBot273,9
RandomBot274,6
RandomBot275,7
RandomBot276,5
RandomBot277,7
RandomBot278,5
RandomBot279,10
RandomBot280,9
RandomBot281,8
RandomBot282,8
RandomBot283,4
RandomBot284,5
RandomBot285,7
RandomBot286,4
RandomBot287,7
RandomBot288,4
RandomBot289,8
RandomBot290,8
RandomBot291,8
RandomBot292,7
RandomBot293,10
RandomBot294,7
RandomBot295,6
RandomBot296,8
RandomBot297,7
RandomBot298,3
RandomBot299,8
RandomBot300,9
RandomBot301,3
RandomBot302,7
RandomBot303,7
RandomBot304,3
RandomBot305,6
RandomBot306,6
RandomBot307,4
RandomBot308,6
RandomBot309,6
RandomBot310,7
RandomBot311,4
RandomBot312,7
RandomBot313,6
RandomBot314,7
RandomBot315,2
RandomBot316,8
RandomBot317,8
RandomBot318,10
RandomBot319,5
RandomBot320,5
RandomBot321,7
RandomBot322,6
RandomBot323,6
RandomBot324,8
RandomBot325,8
RandomBot326,8
RandomBot327,8
RandomBot328,3
RandomBot329,7
RandomBot330,8
RandomBot331,8
RandomBot332,8
RandomBot333,4
RandomBot334,7
RandomBot335,6
RandomBot336,10
RandomBot337,10
RandomBot338,0
RandomBot339,7
RandomBot340,7
RandomBot341,5
RandomBot342,7
RandomBot343,7
RandomBot344,8
RandomBot345,8
RandomBot346,3
RandomBot347,9
RandomBot348,8
RandomBot349,8
RandomBot350,5
RandomBot351,1
RandomBot352,8
RandomBot353,1
RandomBot354,6
RandomBot355,4
RandomBot356,7
RandomBot357,7
RandomBot358,9
RandomBot359,2
RandomBot360,5
RandomBot361,9
RandomBot362,7
RandomBot363,5
RandomBot364,8
RandomBot365,8
RandomBot366,8
RandomBot367,9
RandomBot368,8
RandomBot369,6
RandomBot370,6
RandomBot371,8
RandomBot372,2
RandomBot373,6
RandomBot374,7
RandomBot375,9
RandomBot376,8
RandomBot377,8
RandomBot378,8
RandomBot379,8
RandomBot380,6
RandomBot381,9
RandomBot382,9
RandomBot383,8
RandomBot384,6
RandomBot385,8
RandomBot386,7
RandomBot387,7
RandomBot388,8
RandomBot389,7
RandomBot390,6
RandomBot391,3
RandomBot392,8
RandomBot393,9
RandomBot394,7
RandomBot395,4
RandomBot396,7
RandomBot397,3
RandomBot398,5
RandomBot399,5
RandomBot400,7
RandomBot401,8
RandomBot402,8
RandomBot403,3
RandomBot404,9
RandomBot405,6
RandomBot406,7
RandomBot407,8
RandomBot408,8
RandomBot409,7
RandomBot410,6
RandomBot411,8
RandomBot412,8
RandomBot413,9
RandomBot414,7
RandomBot415,6
RandomBot416,9
RandomBot417,8
RandomBot418,5
RandomBot419,9
RandomBot420,0
RandomBot421,1
RandomBot422,7
RandomBot423,7
RandomBot424,6
RandomBot425,7
RandomBot426,7
RandomBot427,6
RandomBot428,4
RandomBot429,7
RandomBot430,7
RandomBot431,7
RandomBot432,5
RandomBot433,9
RandomBot17,6
RandomBot16,9
RandomBot13,7
RandomBot9,5
RandomBot4,3
RandomBot8,8
RandomBot20,10
RandomBot17,2
RandomBot13,8
RandomBot6,5
RandomBot1,9
RandomBot13,6
RandomBot14,6
RandomBot11,7
RandomBot13,7
RandomBot18,7
RandomBot14,6
RandomBot1,7
RandomBot11,5
RandomBot20,6
RandomBot8,5
RandomBot17,6
RandomBot18,8
RandomBot4,2
RandomBot19,5
RandomBot10,5
RandomBot13,7
RandomBot14,7
RandomBot1,7
RandomBot5,6
RandomBot6,7
RandomBot17,7
RandomBot2,7
RandomBot7,10
RandomBot7,8
RandomBot7,4
RandomBot20,8
RandomBot1,8
RandomBot20,6
RandomBot5,1
RandomBot17,7
