Player,Score,Wrong,Total_questions,Accuracy,Difficulty,Date,Completed
RandomBot26,7,3,10,0.7,hard,2025-07-02 14:41:22,True
RandomBot27,8,2,10,0.8,hard,2025-07-02 14:41:22,True
RandomBot28,6,4,9,0.67,hard,2025-07-02 14:41:22,True
RandomBot29,6,4,10,0.6,easy,2025-07-02 14:41:22,True
RandomBot30,7,3,8,0.88,hard,2025-07-02 14:41:22,True
RandomBot31,1,3,4,0.25,medium,2025-07-02 14:41:22,False
RandomBot32,9,1,10,0.9,hard,2025-07-02 14:41:22,True
RandomBot33,7,3,9,0.78,easy,2025-07-02 14:41:22,True
RandomBot34,8,2,9,0.89,hard,2025-07-02 14:41:22,True
RandomBot35,6,4,10,0.6,hard,2025-07-02 14:41:22,True
RandomBot36,4,6,9,0.44,hard,2025-07-02 14:41:22,True
RandomBot37,3,3,5,0.6,medium,2025-07-02 14:41:22,False
RandomBot38,9,1,10,0.9,easy,2025-07-02 14:41:22,True
RandomBot39,7,3,10,0.7,hard,2025-07-02 14:41:22,True
RandomBot40,2,3,5,0.4,medium,2025-07-02 14:41:22,False
RandomBot41,5,5,10,0.5,easy,2025-07-02 14:41:22,True
RandomBot42,1,3,4,0.25,medium,2025-07-02 14:41:22,False
RandomBot43,6,4,10,0.6,hard,2025-07-02 14:41:22,True
RandomBot44,6,4,10,0.6,hard,2025-07-02 14:41:22,True
RandomBot45,5,3,7,0.71,medium,2025-07-02 14:41:22,False
RandomBot46,6,4,10,0.6,easy,2025-07-02 14:41:22,True
RandomBot47,8,2,9,0.89,medium,2025-07-02 14:41:22,True
RandomBot48,8,2,9,0.89,easy,2025-07-02 14:41:22,True
RandomBot49,6,4,9,0.67,hard,2025-07-02 14:41:22,True
RandomBot50,10,0,9,1.11,hard,2025-07-02 14:41:22,True
RandomBot51,8,2,9,0.89,hard,2025-07-02 14:41:22,True
RandomBot52,9,1,9,1.0,easy,2025-07-02 14:41:22,True
RandomBot53,7,3,8,0.88,hard,2025-07-02 14:41:23,True
RandomBot54,8,2,8,1.0,hard,2025-07-02 14:41:23,True
RandomBot55,7,3,9,0.78,hard,2025-07-02 14:41:23,True
RandomBot56,8,2,10,0.8,easy,2025-07-02 14:41:23,True
RandomBot57,6,4,10,0.6,easy,2025-07-02 14:41:23,True
RandomBot58,5,5,10,0.5,easy,2025-07-02 14:41:23,True
RandomBot59,7,3,8,0.88,hard,2025-07-02 14:41:23,True
RandomBot60,1,3,4,0.25,medium,2025-07-02 14:41:23,False
RandomBot61,3,3,6,0.5,medium,2025-07-02 14:41:23,False
RandomBot62,8,2,9,0.89,easy,2025-07-02 14:41:23,True
RandomBot63,10,0,10,1.0,medium,2025-07-02 14:41:23,True
RandomBot64,9,1,10,0.9,medium,2025-07-02 14:41:23,True
RandomBot65,8,2,10,0.8,medium,2025-07-02 14:41:23,True
RandomBot66,9,1,10,0.9,medium,2025-07-02 14:41:23,True
RandomBot67,8,2,10,0.8,easy,2025-07-02 14:41:23,True
RandomBot68,6,4,10,0.6,easy,2025-07-02 14:41:23,True
RandomBot69,6,4,9,0.67,hard,2025-07-02 14:41:23,True
RandomBot70,3,3,6,0.5,medium,2025-07-02 14:41:23,False
RandomBot71,7,3,9,0.78,hard,2025-07-02 14:41:23,True
RandomBot72,4,3,7,0.57,medium,2025-07-02 14:41:23,False
RandomBot73,5,5,9,0.56,easy,2025-07-02 14:41:23,True
RandomBot74,1,3,4,0.25,medium,2025-07-02 14:41:23,False
RandomBot75,4,3,6,0.67,medium,2025-07-02 14:41:23,False
RandomBot76,6,4,10,0.6,easy,2025-07-02 14:41:23,True
RandomBot77,8,2,10,0.8,hard,2025-07-02 14:41:23,True
RandomBot78,4,3,7,0.57,medium,2025-07-02 14:41:23,False
RandomBot79,6,4,10,0.6,hard,2025-07-02 14:41:23,True
RandomBot80,8,2,9,0.89,easy,2025-07-02 14:41:23,True
RandomBot81,7,3,10,0.7,hard,2025-07-02 14:41:23,True
RandomBot82,3,3,6,0.5,medium,2025-07-02 14:41:23,False
RandomBot83,8,2,9,0.89,hard,2025-07-02 14:41:23,True
RandomBot84,8,2,9,0.89,easy,2025-07-02 14:41:23,True
RandomBot85,8,2,9,0.89,hard,2025-07-02 14:41:23,True
RandomBot86,6,4,10,0.6,hard,2025-07-02 14:41:23,True
RandomBot87,6,4,9,0.67,easy,2025-07-02 14:41:23,True
RandomBot88,5,5,9,0.56,easy,2025-07-02 14:41:23,True
RandomBot89,6,4,10,0.6,easy,2025-07-02 14:41:23,True
RandomBot90,8,2,9,0.89,easy,2025-07-02 14:41:23,True
RandomBot91,9,1,10,0.9,hard,2025-07-02 14:41:23,True
RandomBot92,7,3,10,0.7,easy,2025-07-02 14:41:23,True
RandomBot93,3,3,6,0.5,medium,2025-07-02 14:41:23,False
RandomBot94,5,3,8,0.62,medium,2025-07-02 14:41:23,False
RandomBot95,8,2,8,1.0,hard,2025-07-02 14:41:23,True
RandomBot96,7,3,9,0.78,easy,2025-07-02 14:41:23,True
RandomBot97,7,3,9,0.78,easy,2025-07-02 14:41:23,True
RandomBot98,8,2,9,0.89,medium,2025-07-02 14:41:23,True
RandomBot99,7,3,10,0.7,easy,2025-07-02 14:41:23,True
RandomBot100,5,5,9,0.56,easy,2025-07-02 14:41:23,True
RandomBot101,4,3,7,0.57,medium,2025-07-02 14:41:23,False
RandomBot102,8,2,9,0.89,easy,2025-07-02 14:41:23,True
RandomBot103,10,0,10,1.0,hard,2025-07-02 14:41:23,True
RandomBot104,6,4,10,0.6,easy,2025-07-02 14:41:23,True
RandomBot105,7,3,10,0.7,easy,2025-07-02 14:41:23,True
RandomBot106,4,3,7,0.57,medium,2025-07-02 14:41:23,False
RandomBot107,5,5,9,0.56,hard,2025-07-02 14:41:23,True
RandomBot108,2,3,5,0.4,medium,2025-07-02 14:41:23,False
RandomBot109,6,4,10,0.6,hard,2025-07-02 14:41:23,True
RandomBot110,4,6,10,0.4,hard,2025-07-02 14:41:23,True
RandomBot111,8,2,9,0.89,hard,2025-07-02 14:41:24,True
RandomBot112,9,1,8,1.12,hard,2025-07-02 14:41:24,True
RandomBot113,8,2,10,0.8,medium,2025-07-02 14:41:24,True
RandomBot114,7,3,9,0.78,easy,2025-07-02 14:41:24,True
RandomBot115,8,2,10,0.8,medium,2025-07-02 14:41:24,True
RandomBot116,4,3,7,0.57,medium,2025-07-02 14:41:24,False
RandomBot117,5,5,9,0.56,easy,2025-07-02 14:41:24,True
RandomBot118,7,3,10,0.7,easy,2025-07-02 14:41:24,True
RandomBot119,8,2,10,0.8,easy,2025-07-02 14:41:24,True
RandomBot120,3,3,6,0.5,medium,2025-07-02 14:41:24,False
RandomBot121,9,1,9,1.0,hard,2025-07-02 14:41:24,True
RandomBot122,8,2,8,1.0,hard,2025-07-02 14:41:24,True
RandomBot123,9,1,10,0.9,medium,2025-07-02 14:41:24,True
RandomBot124,9,1,10,0.9,medium,2025-07-02 14:41:24,True
RandomBot125,7,3,10,0.7,easy,2025-07-02 14:41:24,True
RandomBot126,7,3,9,0.78,hard,2025-07-02 14:41:24,True
RandomBot127,10,0,9,1.11,hard,2025-07-02 14:41:24,True
RandomBot128,8,2,10,0.8,easy,2025-07-02 14:41:24,True
RandomBot129,9,1,9,1.0,medium,2025-07-02 14:41:24,True
RandomBot130,9,1,10,0.9,medium,2025-07-02 14:41:24,True
RandomBot131,8,2,9,0.89,easy,2025-07-02 14:41:24,True
RandomBot132,6,4,9,0.67,easy,2025-07-02 14:41:24,True
RandomBot133,6,4,8,0.75,easy,2025-07-02 14:41:24,True
RandomBot134,8,2,9,0.89,hard,2025-07-02 14:41:24,True
RandomBot135,7,3,10,0.7,easy,2025-07-02 14:41:24,True
RandomBot136,7,3,9,0.78,easy,2025-07-02 14:41:24,True
RandomBot137,6,4,10,0.6,hard,2025-07-02 14:41:24,True
RandomBot138,8,2,10,0.8,easy,2025-07-02 14:41:24,True
RandomBot139,4,3,7,0.57,medium,2025-07-02 14:41:24,False
RandomBot140,8,2,10,0.8,hard,2025-07-02 14:41:24,True
RandomBot141,8,2,10,0.8,medium,2025-07-02 14:41:24,True
RandomBot142,8,2,9,0.89,hard,2025-07-02 14:41:24,True
RandomBot143,2,3,5,0.4,medium,2025-07-02 14:41:24,False
RandomBot144,5,5,9,0.56,easy,2025-07-02 14:41:24,True
RandomBot145,7,3,8,0.88,easy,2025-07-02 14:41:24,True
RandomBot146,9,1,10,0.9,medium,2025-07-02 14:41:24,True
RandomBot147,5,5,10,0.5,hard,2025-07-02 14:41:24,True
RandomBot148,8,2,9,0.89,medium,2025-07-02 14:41:24,True
RandomBot149,9,1,9,1.0,easy,2025-07-02 14:41:24,True
RandomBot150,9,1,10,0.9,medium,2025-07-02 14:41:24,True
RandomBot151,7,3,10,0.7,hard,2025-07-02 14:41:24,True
RandomBot152,8,2,10,0.8,hard,2025-07-02 14:41:24,True
RandomBot153,5,3,6,0.83,medium,2025-07-02 14:41:24,False
RandomBot154,8,2,10,0.8,medium,2025-07-02 14:41:24,True
RandomBot155,8,2,9,0.89,hard,2025-07-02 14:41:24,True
RandomBot156,2,3,5,0.4,medium,2025-07-02 14:41:25,False
RandomBot157,6,4,10,0.6,hard,2025-07-02 14:41:25,True
RandomBot158,10,0,8,1.25,easy,2025-07-02 14:41:25,True
RandomBot159,6,4,9,0.67,hard,2025-07-02 14:41:25,True
RandomBot160,8,2,10,0.8,medium,2025-07-02 14:41:25,True
RandomBot161,7,3,8,0.88,medium,2025-07-02 14:41:25,True
RandomBot162,9,1,10,0.9,easy,2025-07-02 14:41:25,True
RandomBot163,9,1,10,0.9,easy,2025-07-02 14:41:25,True
RandomBot164,7,3,10,0.7,easy,2025-07-02 14:41:25,True
RandomBot165,6,4,9,0.67,easy,2025-07-02 14:41:25,True
RandomBot166,3,3,6,0.5,medium,2025-07-02 14:41:25,False
RandomBot167,9,1,10,0.9,easy,2025-07-02 14:41:25,True
RandomBot168,5,5,10,0.5,hard,2025-07-02 14:41:25,True
RandomBot169,7,3,10,0.7,hard,2025-07-02 14:41:25,True
RandomBot170,6,3,8,0.75,medium,2025-07-02 14:41:25,False
RandomBot171,2,3,5,0.4,medium,2025-07-02 14:41:25,False
RandomBot172,8,2,9,0.89,easy,2025-07-02 14:41:25,True
RandomBot173,5,5,10,0.5,easy,2025-07-02 14:41:25,True
RandomBot174,7,3,9,0.78,hard,2025-07-02 14:41:25,True
RandomBot175,8,2,10,0.8,medium,2025-07-02 14:41:25,True
RandomBot176,6,4,9,0.67,hard,2025-07-02 14:41:25,True
RandomBot177,6,4,9,0.67,hard,2025-07-02 14:41:25,True
RandomBot178,8,2,10,0.8,easy,2025-07-02 14:41:25,True
RandomBot179,8,2,10,0.8,easy,2025-07-02 14:41:25,True
RandomBot180,9,1,9,1.0,easy,2025-07-02 14:41:25,True
RandomBot181,10,0,10,1.0,easy,2025-07-02 14:41:25,True
RandomBot182,6,3,9,0.67,medium,2025-07-02 14:41:25,False
RandomBot183,6,3,9,0.67,medium,2025-07-02 14:41:25,False
RandomBot184,9,1,9,1.0,medium,2025-07-02 14:41:25,True
RandomBot185,8,2,10,0.8,medium,2025-07-02 14:41:25,True
RandomBot186,9,1,9,1.0,easy,2025-07-02 14:41:25,True
RandomBot187,7,3,10,0.7,medium,2025-07-02 14:41:25,True
RandomBot188,6,4,9,0.67,easy,2025-07-02 14:41:25,True
RandomBot189,9,1,9,1.0,hard,2025-07-02 14:41:25,True
RandomBot190,6,4,9,0.67,easy,2025-07-02 14:41:25,True
RandomBot191,8,2,9,0.89,medium,2025-07-02 14:41:25,True
RandomBot192,8,2,10,0.8,easy,2025-07-02 14:41:25,True
RandomBot193,7,3,10,0.7,hard,2025-07-02 14:41:25,True
RandomBot194,8,2,10,0.8,easy,2025-07-02 14:41:26,True
RandomBot195,8,2,10,0.8,medium,2025-07-02 14:41:26,True
RandomBot196,7,3,9,0.78,hard,2025-07-02 14:41:26,True
RandomBot197,6,3,8,0.75,medium,2025-07-02 14:41:26,False
RandomBot198,10,0,9,1.11,medium,2025-07-02 14:41:26,True
RandomBot199,5,5,9,0.56,hard,2025-07-02 14:41:26,True
RandomBot200,8,2,10,0.8,medium,2025-07-02 14:41:26,True
RandomBot201,4,3,7,0.57,medium,2025-07-02 14:41:26,False
RandomBot202,6,4,9,0.67,hard,2025-07-02 14:41:26,True
RandomBot203,0,3,3,0.0,medium,2025-07-02 14:41:26,False
RandomBot204,3,3,6,0.5,medium,2025-07-02 14:41:26,False
RandomBot205,8,2,9,0.89,easy,2025-07-02 14:41:26,True
RandomBot206,9,1,10,0.9,hard,2025-07-02 14:41:26,True
RandomBot207,8,2,9,0.89,easy,2025-07-02 14:41:26,True
RandomBot208,8,2,10,0.8,easy,2025-07-02 14:41:26,True
RandomBot209,7,3,10,0.7,medium,2025-07-02 14:41:26,True
RandomBot210,1,3,4,0.25,medium,2025-07-02 14:41:26,False
RandomBot211,5,5,10,0.5,easy,2025-07-02 14:41:26,True
RandomBot212,7,3,10,0.7,medium,2025-07-02 14:41:26,True
RandomBot213,3,3,6,0.5,medium,2025-07-02 14:41:26,False
RandomBot214,7,3,9,0.78,easy,2025-07-02 14:41:26,True
RandomBot215,6,4,10,0.6,hard,2025-07-02 14:41:26,True
RandomBot216,5,5,8,0.62,hard,2025-07-02 14:41:26,True
RandomBot217,6,4,10,0.6,hard,2025-07-02 14:41:26,True
RandomBot218,8,2,10,0.8,medium,2025-07-02 14:41:26,True
RandomBot219,8,2,10,0.8,easy,2025-07-02 14:41:26,True
RandomBot220,8,2,9,0.89,hard,2025-07-02 14:41:26,True
RandomBot221,8,2,10,0.8,easy,2025-07-02 14:41:26,True
RandomBot222,7,3,10,0.7,easy,2025-07-02 14:41:26,True
RandomBot223,10,0,9,1.11,hard,2025-07-02 14:41:26,True
RandomBot224,5,5,10,0.5,easy,2025-07-02 14:41:26,True
RandomBot225,6,4,10,0.6,easy,2025-07-02 14:41:26,True
RandomBot226,9,1,10,0.9,medium,2025-07-02 14:41:26,True
RandomBot227,8,2,8,1.0,medium,2025-07-02 14:41:26,True
RandomBot228,6,3,8,0.75,medium,2025-07-02 14:41:26,False
RandomBot229,6,4,10,0.6,hard,2025-07-02 14:41:27,True
RandomBot230,9,1,10,0.9,hard,2025-07-02 14:41:27,True
RandomBot231,2,3,5,0.4,medium,2025-07-02 14:41:27,False
RandomBot232,2,3,5,0.4,medium,2025-07-02 14:41:27,False
RandomBot233,8,2,9,0.89,medium,2025-07-02 14:41:27,True
RandomBot234,1,3,3,0.33,medium,2025-07-02 14:41:27,False
RandomBot235,4,3,7,0.57,medium,2025-07-02 14:41:27,False
RandomBot236,2,3,4,0.5,medium,2025-07-02 14:41:27,False
RandomBot237,2,3,5,0.4,medium,2025-07-02 14:41:27,False
RandomBot238,9,1,10,0.9,medium,2025-07-02 14:41:27,True
RandomBot239,6,4,10,0.6,hard,2025-07-02 14:41:27,True
RandomBot240,6,4,9,0.67,easy,2025-07-02 14:41:27,True
RandomBot241,8,2,9,0.89,medium,2025-07-02 14:41:27,True
RandomBot242,7,3,10,0.7,easy,2025-07-02 14:41:27,True
RandomBot243,6,4,10,0.6,easy,2025-07-02 14:41:27,True
RandomBot244,5,5,9,0.56,hard,2025-07-02 14:41:27,True
RandomBot245,7,3,8,0.88,easy,2025-07-02 14:41:27,True
RandomBot246,6,4,10,0.6,hard,2025-07-02 14:41:27,True
RandomBot247,6,4,9,0.67,hard,2025-07-02 14:41:27,True
RandomBot248,8,2,10,0.8,easy,2025-07-02 14:41:27,True
RandomBot249,8,2,10,0.8,easy,2025-07-02 14:41:27,True
RandomBot250,4,6,10,0.4,hard,2025-07-02 14:41:27,True
RandomBot251,9,1,10,0.9,hard,2025-07-02 14:41:27,True
RandomBot252,1,3,4,0.25,medium,2025-07-02 14:41:27,False
RandomBot253,5,5,10,0.5,easy,2025-07-02 14:41:27,True
RandomBot254,6,3,8,0.75,medium,2025-07-02 14:41:27,False
RandomBot255,7,3,8,0.88,easy,2025-07-02 14:41:27,True
RandomBot256,5,3,7,0.71,medium,2025-07-02 14:41:27,False
RandomBot257,8,2,10,0.8,hard,2025-07-02 14:41:27,True
RandomBot258,8,2,8,1.0,medium,2025-07-02 14:41:27,True
RandomBot259,8,2,10,0.8,hard,2025-07-02 14:41:27,True
RandomBot260,8,2,10,0.8,easy,2025-07-02 14:41:27,True
RandomBot261,0,3,3,0.0,medium,2025-07-02 14:41:27,False
RandomBot262,5,5,10,0.5,hard,2025-07-02 14:41:27,True
RandomBot263,5,5,10,0.5,easy,2025-07-02 14:41:28,True
RandomBot264,4,6,10,0.4,easy,2025-07-02 14:41:28,True
RandomBot265,9,1,10,0.9,easy,2025-07-02 14:41:28,True
RandomBot266,8,2,10,0.8,hard,2025-07-02 14:41:28,True
RandomBot267,9,1,9,1.0,easy,2025-07-02 14:41:28,True
RandomBot268,7,3,9,0.78,easy,2025-07-02 14:41:28,True
RandomBot269,5,3,8,0.62,medium,2025-07-02 14:41:28,False
RandomBot270,6,4,10,0.6,hard,2025-07-02 14:41:28,True
RandomBot271,6,3,8,0.75,medium,2025-07-02 14:41:28,False
RandomBot272,8,2,9,0.89,hard,2025-07-02 14:41:28,True
RandomBot273,7,3,9,0.78,easy,2025-07-02 14:41:28,True
RandomBot274,5,5,10,0.5,easy,2025-07-02 14:41:28,True
RandomBot275,4,6,9,0.44,easy,2025-07-02 14:41:28,True
RandomBot276,8,2,10,0.8,medium,2025-07-02 14:41:28,True
RandomBot277,3,3,6,0.5,medium,2025-07-02 14:41:28,False
RandomBot278,5,5,9,0.56,easy,2025-07-02 14:41:28,True
RandomBot279,9,1,8,1.12,easy,2025-07-02 14:41:28,True
RandomBot280,7,3,10,0.7,easy,2025-07-02 14:41:28,True
RandomBot281,7,3,9,0.78,easy,2025-07-02 14:41:28,True
RandomBot282,9,1,10,0.9,easy,2025-07-02 14:41:28,True
RandomBot283,7,3,10,0.7,hard,2025-07-02 14:41:28,True
RandomBot284,7,3,10,0.7,easy,2025-07-02 14:41:28,True
RandomBot285,7,3,10,0.7,easy,2025-07-02 14:41:28,True
RandomBot286,6,4,10,0.6,easy,2025-07-02 14:41:28,True
RandomBot287,8,2,9,0.89,medium,2025-07-02 14:41:28,True
RandomBot288,8,2,9,0.89,easy,2025-07-02 14:41:28,True
RandomBot289,7,3,10,0.7,medium,2025-07-02 14:41:28,True
RandomBot290,7,3,8,0.88,medium,2025-07-02 14:41:28,True
RandomBot291,8,2,10,0.8,hard,2025-07-02 14:41:29,True
RandomBot292,7,3,9,0.78,medium,2025-07-02 14:41:29,True
RandomBot293,8,2,10,0.8,easy,2025-07-02 14:41:29,True
RandomBot294,6,3,9,0.67,medium,2025-07-02 14:41:29,False
RandomBot295,8,2,9,0.89,easy,2025-07-02 14:41:29,True
RandomBot296,4,3,7,0.57,medium,2025-07-02 14:41:29,False
RandomBot297,8,2,8,1.0,hard,2025-07-02 14:41:29,True
RandomBot298,7,3,10,0.7,easy,2025-07-02 14:41:29,True
RandomBot299,6,3,9,0.67,medium,2025-07-02 14:41:29,False
RandomBot300,0,3,3,0.0,medium,2025-07-02 14:41:29,False
RandomBot301,8,2,9,0.89,medium,2025-07-02 14:41:29,True
RandomBot302,6,3,8,0.75,medium,2025-07-02 14:41:29,False
RandomBot303,8,2,9,0.89,medium,2025-07-02 14:41:29,True
RandomBot304,5,3,8,0.62,medium,2025-07-02 14:41:29,False
RandomBot305,1,3,4,0.25,medium,2025-07-02 14:41:29,False
RandomBot306,7,3,10,0.7,hard,2025-07-02 14:41:29,True
RandomBot307,4,3,6,0.67,medium,2025-07-02 14:41:29,False
RandomBot308,5,3,8,0.62,medium,2025-07-02 14:41:29,False
RandomBot309,7,3,10,0.7,hard,2025-07-02 14:41:29,True
RandomBot310,8,2,10,0.8,medium,2025-07-02 14:41:29,True
RandomBot311,8,2,10,0.8,hard,2025-07-02 14:41:29,True
RandomBot312,4,6,9,0.44,hard,2025-07-02 14:41:29,True
RandomBot313,8,2,9,0.89,hard,2025-07-02 14:41:29,True
RandomBot314,8,2,9,0.89,easy,2025-07-02 14:41:29,True
RandomBot315,8,2,10,0.8,hard,2025-07-02 14:41:29,True
RandomBot316,1,3,4,0.25,medium,2025-07-02 14:41:29,False
RandomBot317,8,2,10,0.8,hard,2025-07-02 14:41:29,True
